id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
29,3,b'3-time_feature__time_ratio',251.2757,68,1.0000,0
7421,6,b'6-entity_feature__entity__next_system_utterance__01223_DATE',529.1960,15,0.5048,1
5235,5,b'5-phrase_feature__noun_phrases__current_user_utterance__address',425.7890,27,0.4901,2
1,2.1,b'2.1-user_action_words.current_user_utterance__address',426.6824,26,0.4594,3
14225,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2178',0.0000,7349,0.2177,4
31,3,b'3-time_feature__turns_to_end',7328.0899,0,0.2107,5
5608,5,b'5-phrase_feature__noun_phrases__current_user_utterance__number',410.6642,32,0.1967,6
15,2.1,b'2.1-user_action_words.current_user_utterance__number',410.6642,33,0.1935,7
11532,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1914',0.0000,170,0.1717,8
9062,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=141',0.0000,3347,0.1706,9
11978,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2315',0.0000,2028,0.1702,10
13874,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1862',0.0000,7069,0.1696,11
15768,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1406',0.0000,5770,0.1665,12
8581,8.1,b'8.1-lda_feature.current_user_utterance__topic_24',0.0000,3144,0.1633,13
9156,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=226',0.0000,2591,0.1567,14
8644,8.1,b'8.1-lda_feature.next_system_utterance__topic_36',0.0000,3201,0.1555,15
14047,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2017',0.0000,7528,0.1537,16
16069,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1678',0.0000,4925,0.1506,17
8125,7,b'7-syntactic_feature__root_word__next_system_utterance__restaur',167.3413,95,0.1479,18
13017,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1090',0.0000,1649,0.1470,19
14456,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2386',0.0000,8823,0.1388,20
13640,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1651',0.0000,7935,0.1384,21
13819,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1812',0.0000,7024,0.1346,22
11045,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1476',0.0000,800,0.1297,23
6023,5,b'5-phrase_feature__noun_phrases__next_system_utterance__c.b',140.4303,108,0.1281,24
13226,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1279',0.0000,7588,0.1189,25
10111,10.1,b'10.1-d2v_feature.next_system_utterance__d2v_dim=276',0.0000,4517,0.1162,26
14402,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2337',0.0000,8768,0.1082,27
9129,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=201',0.0000,2575,0.1078,28
6754,5,b'5-phrase_feature__noun_phrases__next_system_utterance__street',225.1980,77,0.1077,29
9718,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=192',0.0000,4281,0.1070,30
9034,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=116',0.0000,3233,0.1064,31
9567,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=57',0.0000,2720,0.1057,32
12018,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=2351',0.0000,2032,0.1016,33
