id,name,prefix,chi2,chi2_rank,clf_weight,clf_weight_rank
8556,4.1,b'4.1-ngram.next_system_utterance__sorry',663.5020,4,1.0000,0
35033,8.1,b'8.1-lda_feature.next_system_utterance__topic_26',0.0000,3254,0.8630,1
35718,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=101',0.0000,2506,0.4290,2
35778,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=156',0.0000,2567,0.2533,3
36839,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=31',0.0000,3662,0.2366,4
36310,10.1,b'10.1-d2v_feature.current_user_utterance__d2v_dim=96',0.0000,4280,0.2365,5
43,3,b'3-time_feature__end_of_session',110.1752,60,0.2199,6
39737,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1379',0.0000,8145,0.2164,7
35603,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=269',0.0000,2739,0.2133,8
37457,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1487',0.0000,910,0.1993,9
33329,7,b'7-syntactic_feature__root_word__next_system_utterance__want',96.1046,73,0.1879,10
37228,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1280',0.0000,961,0.1867,11
36653,10.1,b'10.1-d2v_feature.next_user_utterance__d2v_dim=133',0.0000,3789,0.1825,12
35585,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=252',0.0000,2651,0.1817,13
35134,9.1,b'9.1-w2v_feature.current_user_utterance__w2v_dim=116',0.0000,3080,0.1695,14
35440,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=121',0.0000,3340,0.1684,15
35492,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=169',0.0000,3385,0.1665,16
5021,4.1,b'4.1-ngram.next_system_utterance__don',368.4234,11,0.1589,17
40107,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1711',0.0000,7332,0.1588,18
37180,11.1,b'11.1-skipthought_feature.current_user_utterance__skipthought_dim=1237',0.0000,3969,0.1545,19
32983,7,b'7-syntactic_feature__root_word__next_system_utterance__look',172.2649,34,0.1538,20
35531,9.1,b'9.1-w2v_feature.next_system_utterance__w2v_dim=203',0.0000,2658,0.1521,21
43122,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=2265',0.0000,6469,0.1505,22
42124,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1367',0.0000,5757,0.1499,23
35973,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=62',0.0000,2772,0.1492,24
40573,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=2130',0.0000,7456,0.1480,25
39716,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=136',0.0000,8129,0.1461,26
39704,11.1,b'11.1-skipthought_feature.next_system_utterance__skipthought_dim=1349',0.0000,7791,0.1458,27
35966,9.1,b'9.1-w2v_feature.next_user_utterance__w2v_dim=56',0.0000,2824,0.1450,28
42153,11.1,b'11.1-skipthought_feature.next_user_utterance__skipthought_dim=1393',0.0000,5874,0.1447,29
9322,4.1,b'4.1-ngram.next_system_utterance__try',48.8943,219,0.1437,30
