model,accuracy,precision,recall,f1_score,training_time,test_time
LinearSVC.loss=l2.penalty=l2,0.840821667354,0.610382591635,0.554134665535,0.572021890471,0.128270745277,0.000731110572815
SGDClassifier.penalty=l2,0.793364283282,0.49670534987,0.440396164573,0.444592823149,0.0538105964661,0.000757932662964
LinearSVC.loss=l2.penalty=l1,0.846727491082,0.619990104141,0.560508723737,0.571515507956,0.255837082863,0.000572443008423
SGDClassifier.penalty=l1,0.80827940992,0.514168613304,0.50974875762,0.494128845332,0.180869579315,0.000843405723572
SGDClassifier.penalty=elasticnet,0.773330226389,0.562541572193,0.517432411093,0.494051354075,0.196583032608,0.00084388256073
NearestCentroid,0.150285181667,0.332094923509,0.274582997959,0.132133229119,0.0046980381012,0.00196492671967
MultinomialNB,0.742210471598,0.524850747207,0.554210094445,0.525306960835,0.00244605541229,0.000587463378906
BernoulliNB,0.687523346896,0.477334444624,0.528918996437,0.470801460349,0.00260841846466,0.00235044956207
LinearSVC+L1-FeatSel,0.835736793992,0.607428875073,0.540431360775,0.55512702495,0.69560945034,0.00216603279114
RBF SVC with C=1.000000,0.712517879869,0.178129469967,0.25,0.208031503128,1.07892239094,0.373466491699
RBF SVC with C=5.000000,0.712517879869,0.178129469967,0.25,0.208031503128,1.29328715801,0.399513840675
RBF SVC with C=10.000000,0.711675419886,0.178069395817,0.249705535925,0.207888188011,1.48333454132,0.433841943741
