model,accuracy,precision,recall,f1_score,training_time,test_time
LinearSVC.loss=l2.penalty=l2,0.858637266463,0.639295962894,0.549741558032,0.576695638342,0.0526374578476,0.000333547592163
SGDClassifier.penalty=l2,0.814749148639,0.64295290235,0.439486783593,0.443280914494,0.0309640169144,0.000313997268677
LinearSVC.loss=l2.penalty=l1,0.848273798964,0.630890430966,0.541927491754,0.568347102496,0.121427536011,0.000307440757751
SGDClassifier.penalty=l1,0.835605831342,0.615149469822,0.514695647784,0.512770798939,0.0764985084534,0.000345706939697
SGDClassifier.penalty=elasticnet,0.82670298211,0.612680380891,0.467934658302,0.486171789656,0.0774912834167,0.000289678573608
NearestCentroid,0.195906512083,0.268574321581,0.317269640996,0.165505343129,0.00257909297943,0.000815033912659
MultinomialNB,0.791493698714,0.525421634039,0.558449208536,0.535818206684,0.00121212005615,0.000244379043579
BernoulliNB,0.796518030757,0.526843234285,0.552376794875,0.533022443123,0.00149965286255,0.000848889350891
LinearSVC+L1-FeatSel,0.851983609352,0.644422575695,0.529310336841,0.561206859253,0.476550579071,0.00125157833099
RBF SVC with C=1.000000,0.735213457585,0.183803364396,0.25,0.211850799011,0.434568047523,0.153021335602
RBF SVC with C=5.000000,0.735213457585,0.183803364396,0.25,0.211850799011,0.566423296928,0.164547801018
RBF SVC with C=10.000000,0.735213457585,0.183803364396,0.25,0.211850799011,0.646338939667,0.176125884056
