id	name	chi2	pval
0	3-time_feature__turns_to_end	9962.1765	0.0000
1	5-phrase_feature__noun_phrases__#overlop	3092.6121	0.0000
2	3-time_feature__turns_from_start	2652.8994	0.0000
3	4.2-edit_distance__edit_distance	2128.9247	0.0000
4	7-syntactic_feature__subj_word__next_system_utterance__you	2026.5618	0.0000
5	5-phrase_feature__noun_phrases__next_system_utterance__example	1736.6337	0.0000
6	5-phrase_feature__noun_phrases__next_system_utterance__looking	1093.5634	0.0000
7	5-phrase_feature__noun_phrases__have_overlop	1091.7867	0.0000
8	7-syntactic_feature__root_word__next_system_utterance__looking	1057.7222	0.0000
9	5-phrase_feature__noun_phrases__jaccard_similarity	930.7670	0.0000
10	8.2-lda_similarity__cosine	926.3053	0.0000
11	7-syntactic_feature__root_word__next_system_utterance__example	756.4974	0.0000
12	7-syntactic_feature__root_word__next_user_utterance__thank	735.8512	0.0000
13	1-utterance_length.next_user_utterance__utterance_length	690.7098	0.0000
14	4.3-jaccard_similarity__jaccard_similarity	628.8873	0.0000
15	2.3-action_jaccard_similarity__jaccard_similarity	615.4530	0.0000
16	7-syntactic_feature__root_word__next_system_utterance__like	614.1969	0.0000
17	2.2-#user_action_words.current_user_utterance__utterance_length	588.0806	0.0000
18	5-phrase_feature__noun_phrases__next_system_utterance__phone_number	542.9666	0.0000
19	5-phrase_feature__noun_phrases__next_system_utterance__number	542.9666	0.0000
20	5-phrase_feature__noun_phrases__next_system_utterance__phone	542.9666	0.0000
21	2.1-user_action_words.current_user_utterance__address	542.8334	0.0000
22	5-phrase_feature__noun_phrases__current_user_utterance__address	541.7750	0.0000
23	5-phrase_feature__noun_phrases__next_user_utterance__good_bye	522.4797	0.0000
24	5-phrase_feature__noun_phrases__next_user_utterance__bye	522.0327	0.0000
25	5-phrase_feature__noun_phrases__next_system_utterance__particular_venue	486.8352	0.0000
26	5-phrase_feature__noun_phrases__next_system_utterance__kind	465.6137	0.0000
27	2.1-user_action_words.current_user_utterance__number	455.9726	0.0000
28	5-phrase_feature__noun_phrases__current_user_utterance__number	455.9726	0.0000
29	5-phrase_feature__noun_phrases__current_user_utterance__phone_number	453.2182	0.0000
30	2.1-user_action_words.current_user_utterance__phone	451.7680	0.0000
31	5-phrase_feature__noun_phrases__current_user_utterance__phone	451.7680	0.0000
32	7-syntactic_feature__root_word__current_user_utterance__what	442.8687	0.0000
33	7-syntactic_feature__obj_word__next_user_utterance__bye	438.5618	0.0000
34	7-syntactic_feature__obj_word__next_system_utterance__type	433.0637	0.0000
35	5-phrase_feature__noun_phrases__next_system_utterance__type	433.0637	0.0000
36	5-phrase_feature__noun_phrases__next_user_utterance__care	422.6233	0.0000
37	2.1-user_action_words.next_user_utterance__number	417.0853	0.0000
38	5-phrase_feature__noun_phrases__next_user_utterance__number	417.0853	0.0000
39	2.1-user_action_words.next_user_utterance__phone	416.1789	0.0000
40	5-phrase_feature__noun_phrases__next_user_utterance__phone	416.1789	0.0000
41	5-phrase_feature__noun_phrases__next_user_utterance__phone_number	414.5749	0.0000
42	2.1-user_action_words.next_user_utterance__address	407.9077	0.0000
43	5-phrase_feature__noun_phrases__next_user_utterance__address	407.9077	0.0000
44	7-syntactic_feature__obj_word__next_system_utterance__part	405.6506	0.0000
45	5-phrase_feature__noun_phrases__next_system_utterance__mind	405.6506	0.0000
46	7-syntactic_feature__root_words_overlap	401.8533	0.0000
47	7-syntactic_feature__root_word__next_system_utterance__have	391.1839	0.0000
48	7-syntactic_feature__subj_word__next_system_utterance__number	384.8731	0.0000
49	8.1-lda_feature.next_user_utterance__topic_22	357.5127	0.0000
50	5-phrase_feature__noun_phrases__next_system_utterance__main_courses	355.7802	0.0000
51	5-phrase_feature__noun_phrases__next_system_utterance__courses	355.7802	0.0000
52	5-phrase_feature__noun_phrases__next_system_utterance__pounds	355.7802	0.0000
53	4.1-ngram.current_user_utterance__address	349.6847	0.0000
54	8.1-lda_feature.next_system_utterance__topic_42	337.5988	0.0000
55	2.2-#user_action_words.next_user_utterance__utterance_length	336.2427	0.0000
56	5-phrase_feature__noun_phrases__next_system_utterance__venue	334.1712	0.0000
57	7-syntactic_feature__root_word__next_user_utterance__what	333.9247	0.0000
58	7-syntactic_feature__subj_word__next_system_utterance__price	332.3432	0.0000
59	5-phrase_feature__noun_phrases__next_system_utterance__something	331.3564	0.0000
60	7-syntactic_feature__root_word__next_system_utterance__something	326.7471	0.0000
