model,accuracy,precision,recall,f1_score,training_time,test_time
LinearSVC.loss=l2.penalty=l2,0.834468802094,0.590695436116,0.542888446166,0.557308229854,0.100844144821,0.000806570053101
SGDClassifier.penalty=l2,0.826826435319,0.574429926193,0.539993773737,0.553533487902,0.0554796457291,0.000959396362305
LinearSVC.loss=l2.penalty=l1,0.847574252989,0.620993390563,0.562863692627,0.573289668338,0.20831489563,0.000959634780884
SGDClassifier.penalty=l1,0.837395902418,0.600062142301,0.561726722044,0.573246334131,0.19022154808,0.00093948841095
SGDClassifier.penalty=elasticnet,0.829383928731,0.578561435198,0.544666828242,0.55683574274,0.249730587006,0.0015195608139
NearestCentroid,0.786151750345,0.570724223278,0.568792790103,0.563678329037,0.00588643550873,0.00254917144775
MultinomialNB,0.739236050117,0.51737570382,0.545042508387,0.518576030104,0.0029536485672,0.000616908073425
BernoulliNB,0.687523346896,0.477334444624,0.528918996437,0.470801460349,0.00362193584442,0.00302338600159
LinearSVC+L1-FeatSel,0.836574952051,0.600588615355,0.542491893852,0.558256020678,0.224958539009,0.00221049785614
RBF SVC with C=1.000000,0.712517879869,0.178129469967,0.25,0.208031503128,0.861850976944,0.355746030807
RBF SVC with C=5.000000,0.712517879869,0.178129469967,0.25,0.208031503128,0.922994494438,0.352969050407
RBF SVC with C=10.000000,0.712517879869,0.178129469967,0.25,0.208031503128,1.07527494431,0.397233486176
